0.0,97,66,80,43.6,0,27,20.4,16
0.899973,97,67,68,42.9,27,24,20.9,19
0.833294,97,67,66,42.5,26,24,20.9,19
0.966656,97,67,70,40.3,23,24,20.6,18
0.933374,97,67,71,43.0,28,24,20.9,19
0.8666,97,68,67,43.3,27,24,21.0,19
0.966567,97,68,71,40.4,22,24,20.6,18
0.900358,97,68,73,44.6,29,25,21.1,19
0.900002,97,68,109,66.2,28,29,23.8,19
0.866359,97,68,60,35.7,17,23,20.0,18
0.899986,97,68,67,49.3,30,24,21.8,19
0.933239,97,68,72,36.9,17,25,20.3,18
0.900008,97,68,69,46.8,30,24,21.5,19
0.867517,97,68,65,42.2,28,24,20.8,19
0.865798,97,68,65,39.6,26,24,20.6,19
0.866939,97,68,61,39.5,26,23,20.5,19
0.899998,97,68,65,38.4,24,24,20.5,19
0.800015,97,68,60,40.4,29,23,20.6,19
0.833062,97,68,66,38.5,22,24,20.4,18
0.900215,97,68,69,41.8,25,24,20.9,19
0.803109,97,68,65,41.7,27,24,20.7,19
0.896531,96,68,66,38.9,23,24,20.5,18
0.833347,96,68,65,39.4,25,24,20.5,19
0.833375,96,69,60,39.4,23,23,20.5,18
0.900188,96,69,68,39.0,24,24,20.5,19
0.833034,96,69,64,43.0,30,24,21.0,19
0.833311,95,70,65,40.9,27,24,20.6,19
0.866701,95,70,66,39.9,25,24,20.6,19
0.833297,95,70,60,40.1,26,23,20.6,19
0.866702,95,70,66,38.1,24,24,20.4,19
0.899877,95,70,66,40.0,26,24,20.6,19
0.833328,95,70,62,40.5,27,23,20.6,19
0.900349,95,70,68,41.4,26,24,20.7,19
0.86658,96,70,71,41.7,26,24,20.7,19
0.833405,96,70,68,45.6,32,24,21.4,20
0.866594,96,70,68,40.1,24,24,20.6,19
0.833016,96,70,66,39.5,23,24,20.5,18
0.866644,96,70,64,38.8,20,24,20.4,18
0.800314,96,70,51,18.0,0,22,18.0,16
0.0,97,59,127,54.5,0,31,20.4,16
0.833262,97,59,65,43.3,22,24,20.9,18
0.866664,97,59,74,45.4,30,25,21.3,19
0.966735,97,59,58,32.2,8,23,19.7,17
0.799973,97,59,72,44.9,34,25,21.2,20
0.899965,97,58,63,38.4,14,23,20.3,17
0.90001,97,58,70,39.9,23,24,20.5,18
0.733384,97,58,76,47.6,35,25,21.5,20
0.0,96,69,69,52.9,0,29,20.4,16
0.866495,96,69,62,41.3,26,23,20.7,19
0.833331,96,69,64,42.1,27,24,20.8,19
0.0,95,70,98,51.7,0,31,20.6,16
1.203939,95,70,95,33.5,0,27,19.9,16
0.668114,95,70,56,37.6,23,23,20.3,18
0.0,96,69,64,51.7,20,29,20.3,16
0.833655,96,69,64,42.2,27,24,20.8,19
0.899648,96,68,68,42.9,26,24,20.9,19
0.867009,96,69,66,42.4,26,24,20.8,19
0.833246,96,69,65,42.6,26,24,20.9,19
0.900023,96,69,68,42.2,25,24,20.9,19
